,chembl_id,wd_consensus_1,p_approved,p_withdrawn,probabilities
0,CHEMBL1201195,0,0.0015789473684210526,0.13151515151515153,0.010107809
1,CHEMBL2104956,0,0.008423830023607833,0.2797979797979798,0.05420942
2,CHEMBL1200692,0,0.0057936397722538535,0.18353535353535352,0.023105938
3,CHEMBL3545313,0,0.0042133037078183585,0.2029292929292929,0.026578972
4,CHEMBL672,0,0.16179836133870296,0.7607070707070707,0.5855595
5,CHEMBL4594284,0,0.005801971948340508,0.1797979797979798,0.027411636
6,CHEMBL32479,0,0.044213303707818355,0.37575757575757573,0.16247347
7,CHEMBL1243,0,0.012106651853909179,0.26606060606060605,0.03897243
8,CHEMBL2105669,0,0.016849048743230108,0.3797979797979798,0.06379886
9,CHEMBL1183717,0,0.0247382308012776,0.3661616161616162,0.096172094
10,CHEMBL1497,0,0.0005277044854881266,0.1213131313131313,0.011890727
11,CHEMBL1370,0,0.004221635883905013,0.18414141414141413,0.021566048
12,CHEMBL2403238,0,0.052233023191223436,0.36383838383838385,0.19671316
13,CHEMBL1510,0,0.02370642966254687,0.4641414141414142,0.10829221
14,CHEMBL855,0,0.04220941535897792,0.40383838383838383,0.17731276
15,CHEMBL1201048,0,0.016864324399388973,0.38191919191919194,0.05427736
16,CHEMBL1615439,0,0.03848909873628663,0.466969696969697,0.14820653
17,CHEMBL187709,1,0.06216497708651576,0.5307070707070707,0.2244085
18,CHEMBL1186610,0,0.0015789473684210526,0.12181818181818183,0.012650298
19,CHEMBL220491,0,0.005264546590751285,0.15353535353535352,0.016010795
20,CHEMBL407135,0,0.01,0.24404040404040406,0.05911717
21,CHEMBL1194325,0,0.003689765310373559,0.26515151515151514,0.028278297
22,CHEMBL1256841,1,0.016864324399388973,0.3553535353535354,0.05142305
23,CHEMBL45,0,0.013716150534647965,0.31828282828282833,0.05665973
24,CHEMBL1200608,0,0.02951534509095959,0.5038383838383839,0.098420836
25,CHEMBL447861,0,0.004210526315789474,0.11747474747474747,0.00973396
26,CHEMBL3188267,0,0.0,0.062424242424242424,0.0068334327
27,CHEMBL404520,0,0.11905290931815027,0.6812121212121213,0.51257306
28,CHEMBL979,0,0.09377864185529787,0.6297979797979798,0.376293
29,CHEMBL1200763,0,0.014763227329537564,0.3138383838383838,0.053657077
30,CHEMBL254219,0,0.006860158311345646,0.14777777777777779,0.026276687
31,CHEMBL2048028,0,0.032112206637966954,0.4695959595959597,0.17335925
32,CHEMBL3301594,0,0.002109429245938064,0.21555555555555556,0.023126934
33,CHEMBL3085436,0,0.003157894736842105,0.19444444444444448,0.020139737
34,CHEMBL252556,0,0.035871406749062626,0.43454545454545457,0.15434328
35,CHEMBL1697744,0,0.005275656158866824,0.18424242424242424,0.023768313
36,CHEMBL267345,0,0.008427996111651159,0.28888888888888886,0.051199418
37,CHEMBL13766,0,0.0,0.09444444444444444,0.0047437996
38,CHEMBL1257073,0,0.00316067212887099,0.2885858585858586,0.026644444
39,CHEMBL1442422,1,0.01842799611165116,0.41090909090909095,0.07136077
40,CHEMBL822,0,0.028972364949312594,0.4375757575757576,0.10607531
41,CHEMBL1697748,0,0.026854603527287878,0.3391919191919192,0.12718453
42,CHEMBL315795,0,0.026843493959172342,0.3573737373737374,0.11704266
43,CHEMBL652,0,0.0036883766143591167,0.22919191919191917,0.021470228
44,CHEMBL1657,0,0.03164143868907096,0.4322222222222222,0.14651115
45,CHEMBL1574,0,0.27757255936675457,0.8294949494949495,0.7689611
46,CHEMBL1231723,0,0.0,0.06797979797979799,0.005299581
47,CHEMBL544,0,0.0,0.06727272727272728,0.0030214589
48,CHEMBL832,0,0.11759616719900015,0.5350505050505051,0.31969872
49,CHEMBL1569487,0,0.02636022774614637,0.4765656565656566,0.09474381
50,CHEMBL1294,0,0.018425218719622275,0.30636363636363634,0.07133893
51,CHEMBL1121,0,0.0042133037078183585,0.2485858585858586,0.023514535
52,CHEMBL787,0,0.006855992223302319,0.2697979797979798,0.031558756
53,CHEMBL1197,0,0.056894875711706705,0.6309090909090909,0.23651166
54,CHEMBL1054,0,0.0005263157894736842,0.05868686868686869,0.0053460496
55,CHEMBL167731,0,0.0005263157894736842,0.07232323232323232,0.008072285
56,CHEMBL1614637,0,0.013160672128870992,0.3078787878787879,0.039729632
57,CHEMBL642,0,0.29089293153728646,0.8464646464646466,0.79882026
58,CHEMBL406,0,0.0068546035272878765,0.23424242424242428,0.02818745
59,CHEMBL3707331,0,0.0005277044854881266,0.10686868686868686,0.00863378
60,CHEMBL3545123,0,0.0,0.07555555555555556,0.0055563897
61,CHEMBL277522,0,0.07014442438550202,0.6245454545454546,0.26609343
62,CHEMBL1201109,0,0.017925288154423,0.44505050505050503,0.07212876
63,CHEMBL159776,0,0.004746562977364255,0.17575757575757578,0.022763118
64,CHEMBL51,0,0.03269684766004721,0.42808080808080806,0.14151822
65,CHEMBL2105420,0,0.03529093181502569,0.35545454545454547,0.122954786
66,CHEMBL16,0,0.21036106096375504,0.734040404040404,0.50848097
67,CHEMBL2105637,0,0.11161227607276766,0.6364646464646465,0.3460241
68,CHEMBL65794,0,0.02267046243577281,0.3284848484848485,0.07461713
69,CHEMBL305187,0,0.046360227746146364,0.4404040404040404,0.17461762
70,CHEMBL1296,0,0.0,0.0994949494949495,0.0047304956
71,CHEMBL1377575,0,0.0,0.14404040404040405,0.013164426
72,CHEMBL1479848,0,0.24567976669906955,0.7785858585858586,0.6905495
73,CHEMBL776,1,0.017379530620747118,0.3433333333333333,0.10564302
74,CHEMBL1095607,0,0.008965421469240382,0.3111111111111111,0.038850818
75,CHEMBL4204794,0,0.0,0.0496969696969697,0.0041846205
76,CHEMBL1200946,0,0.010026385224274407,0.2686868686868687,0.04010658
77,CHEMBL1337,0,0.021599777808637692,0.43686868686868685,0.11989138
78,CHEMBL279516,1,0.06268851548396057,0.6443434343434342,0.28797013
79,CHEMBL305660,0,0.05586168587696153,0.6214141414141414,0.28041863
80,CHEMBL924,0,0.002105263157894737,0.19484848484848483,0.012949491
81,CHEMBL452630,0,0.011081794195250658,0.21868686868686868,0.05177676
82,CHEMBL1201328,0,0.004736842105263158,0.1215151515151515,0.013781615
83,CHEMBL1697841,0,0.002631578947368421,0.21737373737373739,0.01801838
84,CHEMBL1200453,0,0.0010540202749618108,0.12121212121212122,0.010916175
85,CHEMBL1200686,0,0.019512567698930706,0.255959595959596,0.06515764
86,CHEMBL178862,0,0.03741563671712263,0.4867676767676768,0.16561529
87,CHEMBL2103875,0,0.06586446326899041,0.6212121212121213,0.30646607
88,CHEMBL2042122,0,0.025793639772253858,0.43787878787878787,0.13328563
89,CHEMBL2105395,0,0.05378558533537009,0.5248484848484849,0.21996287
90,CHEMBL580,0,0.07845993611998334,0.6359595959595958,0.32168272
91,CHEMBL2103846,0,0.02952089987501736,0.35454545454545455,0.10228368
92,CHEMBL292707,0,0.19660324954867378,0.6661616161616162,0.43023452
93,CHEMBL494,0,0.020534647965560336,0.34272727272727277,0.072401166
94,CHEMBL2110725,0,0.04372726010276351,0.40050505050505053,0.15754083
95,CHEMBL1201235,0,0.0015789473684210526,0.16242424242424244,0.012768915
96,CHEMBL468,1,0.13602971809470907,0.7287878787878789,0.5103912
97,CHEMBL33986,0,0.03794889598666852,0.5172727272727273,0.12280677
98,CHEMBL3391662,0,0.026381058186363004,0.34565656565656566,0.1300389
