,name,pubchem_cid,chembl_id,countries,toxicity_type,molecule_type,structure_type,therapeutic_flag,molecule_chembl_id,max_phase,atc_classifications,chirality,prodrug,oral,parenteral,topical,black_box_warning,availability_type,withdrawn_year,withdrawn_reason,withdrawn_country,withdrawn_class,alogp,aromatic_rings,cx_logd,cx_logp,cx_most_apka,cx_most_bpka,full_mwt,hba,hba_lipinski,hbd,hbd_lipinski,heavy_atoms,molecular_species,mw_freebase,mw_monoisotopic,num_lipinski_ro5_violations,num_ro5_violations,psa,qed_weighted,ro3_pass,rtb,parent_chembl_id,parent_smiles,parent_inchi_key,smiles,action_type,direct_interaction,disease_efficacy,molecular_mechanism,target_chembl_id,chembl_tox,withdrawn_withdrawn
0,Telaprevir,CID3010818,CHEMBL231813,USA,toxic_dermis,Protein,MOL,True,CHEMBL231813,4,J05AP02,1,0,True,False,False,1,1,,,,,2.45,1,2.58,2.58,11.86,0.30,679.86,8,13,4,4,49,NEUTRAL,679.86,679.4057,2,1,179.56,0.23,N,13,CHEMBL231813,CCC[C@H](NC(=O)[C@@H]1[C@H]2CCC[C@H]2CN1C(=O)[C@@H](NC(=O)[C@@H](NC(=O)c1cnccn1)C1CCCCC1)C(C)(C)C)C(=O)C(=O)NC1CC1,BBAWEDCPNXPBQM-GDEBMMAJSA-N,CCC[C@H](NC(=O)[C@@H]1[C@H]2CCC[C@H]2CN1C(=O)[C@@H](NC(=O)[C@@H](NC(=O)c1cnccn1)C1CCCCC1)C(C)(C)C)C(=O)C(=O)NC1CC1,missing,missing,missing,missing,missing,Safe,1
1,Ribavirin,CID37542,CHEMBL1643,USA;EU,toxic_respiratory,Small molecule,MOL,True,CHEMBL1643,4,J05AP01,1,1,True,False,True,1,1,,,,,-3.01,1,-2.77,-2.77,11.88,,244.21,8,9,4,5,17,NEUTRAL,244.21,244.0808,0,0,143.72,0.44,N,3,CHEMBL1643,NC(=O)c1ncn([C@@H]2O[C@H](CO)[C@@H](O)[C@H]2O)n1,IWUCXVSUMQZMFG-AFCXAGJDSA-N,NC(=O)c1ncn([C@@H]2O[C@H](CO)[C@@H](O)[C@H]2O)n1,missing,missing,missing,missing,missing,toxic_carcinogenic+toxic_hema+toxic_respiratory+toxic_teratogen,1
2,Ketoconazole,CID47576,CHEMBL295698,EU;AUS,toxic_hepa,Small molecule,MOL,False,CHEMBL295698,3,,1,0,False,False,False,0,,,,,,4.21,3,4.16,4.19,,6.42,531.44,7,8,0,0,36,NEUTRAL,531.44,530.1488,1,1,69.06,0.46,N,7,CHEMBL295698,CC(=O)N1CCN(c2ccc(OC[C@@H]3CO[C@@](Cn4ccnc4)(c4ccc(Cl)cc4Cl)O3)cc2)CC1,XMAYWYJOQHXEEK-ZEQKJWHPSA-N,CC(=O)N1CCN(c2ccc(OC[C@@H]3CO[C@@](Cn4ccnc4)(c4ccc(Cl)cc4Cl)O3)cc2)CC1,missing,missing,missing,missing,missing,Safe,1
3,Tetrazepam,CID25215,CHEMBL2105527,EU,toxic_dermis,Small molecule,MOL,False,CHEMBL2105527,4,M03BX07,2,0,False,False,False,0,-2,2013,,European Union,,3.61,1,3.14,3.14,,3.24,288.78,2,3,0,0,20,NEUTRAL,288.78,288.1029,0,0,32.67,0.78,N,1,CHEMBL2105527,CN1C(=O)CN=C(C2=CCCCC2)c2cc(Cl)ccc21,IQWYAQCHYZHJOS-UHFFFAOYSA-N,CN1C(=O)CN=C(C2=CCCCC2)c2cc(Cl)ccc21,missing,missing,missing,missing,missing,Safe,1
4,Clorazepate,CID2809,CHEMBL1213252,USA,toxic_systemic,Small molecule,MOL,True,CHEMBL1213252,4,,0,1,True,False,False,1,1,,,,,2.58,2,-0.22,3.21,3.32,,314.73,3,5,2,2,22,ACID,314.73,314.0458,0,0,78.76,0.84,N,2,CHEMBL1213252,O=C(O)C1N=C(c2ccccc2)c2cc(Cl)ccc2NC1=O,XDDJGVMJFWAHJX-UHFFFAOYSA-N,O=C(O)C1N=C(c2ccccc2)c2cc(Cl)ccc2NC1=O,missing,missing,missing,missing,missing,Safe,1
5,Celecoxib,CID2662,CHEMBL118,EU,toxic_cardio,Small molecule,MOL,True,CHEMBL118,4,M01AH01+L01XX33,2,0,True,False,False,1,1,2011,,European Union,,3.51,3,4.01,4.01,10.60,,381.38,4,5,1,2,26,NEUTRAL,381.38,381.0759,0,0,77.98,0.75,N,3,CHEMBL118,Cc1ccc(-c2cc(C(F)(F)F)nn2-c2ccc(S(N)(=O)=O)cc2)cc1,RZEKVGVHFLEQIL-UHFFFAOYSA-N,Cc1ccc(-c2cc(C(F)(F)F)nn2-c2ccc(S(N)(=O)=O)cc2)cc1,missing,missing,missing,missing,missing,toxic_cardio+toxic_gastro+toxic_neuro,1
6,Pioglitazone,CID4829,CHEMBL595,FRA;DEU,toxic_carcinogenic,Small molecule,MOL,True,CHEMBL595,4,A10BG03,0,0,True,False,False,1,1,,,,,3.16,2,2.74,3.33,6.66,5.60,356.45,5,5,1,1,25,NEUTRAL,356.45,356.1195,0,0,68.29,0.83,N,7,CHEMBL595,CCc1ccc(CCOc2ccc(CC3SC(=O)NC3=O)cc2)nc1,HYAFETHFCAUJAY-UHFFFAOYSA-N,CCc1ccc(CCOc2ccc(CC3SC(=O)NC3=O)cc2)nc1,missing,missing,missing,missing,missing,toxic_cardio,1
7,Dolasetron,CID3033818,CHEMBL2368925,DEU,toxic_cardio,Small molecule,MOL,True,CHEMBL2368925,4,A04AA04,1,0,True,True,False,0,1,,,,,2.52,2,2.32,2.33,12.18,5.68,324.38,4,5,1,1,24,NEUTRAL,324.38,324.1474,0,0,62.40,0.86,N,2,CHEMBL2368925,O=C(O[C@@H]1C[C@@H]2C[C@H]3C[C@H](C1)N2CC3=O)c1c[nH]c2ccccc12,UKTAZPQNNNJVKR-KJGYPYNMSA-N,O=C(O[C@@H]1C[C@@H]2C[C@H]3C[C@H](C1)N2CC3=O)c1c[nH]c2ccccc12,missing,missing,missing,missing,missing,Safe,1
8,Indoramin,CID33625,CHEMBL279516,GBR,toxic_cardio,Small molecule,MOL,True,CHEMBL279516,4,C02CA02,2,0,False,False,False,0,-1,,,,,3.60,3,1.58,3.19,,9.00,347.46,2,4,2,2,26,BASE,347.46,347.1998,0,0,48.13,0.74,N,5,CHEMBL279516,O=C(NC1CCN(CCc2c[nH]c3ccccc23)CC1)c1ccccc1,JXZZEXZZKAWDSP-UHFFFAOYSA-N,O=C(NC1CCN(CCc2c[nH]c3ccccc23)CC1)c1ccccc1,missing,missing,missing,missing,missing,Safe,1
9,Sitaxentan,CID216235,CHEMBL282724,DEU,toxic_hepa,Small molecule,MOL,True,CHEMBL282724,4,C02KX03,2,0,False,False,False,0,-2,2010,Liver toxicity,European Union,Hepatotoxicity,3.96,3,2.60,3.09,6.89,0.75,454.91,8,8,1,1,29,NEUTRAL,454.91,454.0060,0,0,107.73,0.56,N,6,CHEMBL282724,Cc1cc2c(cc1CC(=O)c1sccc1S(=O)(=O)Nc1onc(C)c1Cl)OCO2,PHWXUGHIIBDVKD-UHFFFAOYSA-N,Cc1cc2c(cc1CC(=O)c1sccc1S(=O)(=O)Nc1onc(C)c1Cl)OCO2,missing,missing,missing,missing,missing,Safe,1
